Version,Version_Season,Season,Full_Name,Castaway_Id,Order,Result,Jury_Status,Place,Jury,Finalist,Winner,Season_Castaway_Id,Finale_Categorization,Era
US,US02,2,Kimmi Kappenberg,US0021,5.0,5th voted out,nan,12,False,False,False,US02US0021,Voted out pre-jury,Old School (pre-advantage)
US,US31,31,Kimmi Kappenberg,US0021,15.0,14th voted out,8th jury member,6,True,False,False,US31US0021,Jury,New School
US,US02,2,Michael Skupin,US0022,6.0,Medically evacuated,nan,11,False,False,False,US02US0022,Voted out pre-jury,Old School (pre-advantage)
US,US25,25,Michael Skupin,US0022,17.0,Runner-up,nan,2,False,True,False,US25US0022,Finalist,New School
US,US02,2,Jeff Varner,US0023,7.0,6th voted out,nan,10,False,False,False,US02US0023,Voted out pre-jury,Old School (pre-advantage)
US,US31,31,Jeff Varner,US0023,4.0,4th voted out,nan,17,False,False,False,US31US0023,Voted out pre-jury,New School
US,US34,34,Jeff Varner,US0023,7.0,7th voted out,nan,14,False,False,False,US34US0023,Voted out pre-jury,New School
US,US02,2,Alicia Calaway,US0024,8.0,7th voted out,1st jury member,9,True,False,False,US02US0024,Jury,Old School (pre-advantage)
US,US08,8,Alicia Calaway,US0024,12.0,10th voted out,3rd jury member,7,True,False,False,US08US0024,Jury,Old School (pre-advantage)
US,US02,2,Jerri Manthey,US0025,9.0,8th voted out,2nd jury member,8,True,False,False,US02US0025,Jury,Old School (pre-advantage)
US,US08,8,Jerri Manthey,US0025,9.0,7th voted out,nan,10,False,False,False,US08US0025,Voted out pre-jury,Old School (pre-advantage)
US,US20,20,Jerri Manthey,US0025,17.0,17th voted out,9th jury member,4,True,False,False,US20US0025,Jury,Old School (with advantages)
US,US02,2,Nick Brown,US0026,10.0,9th voted out,3rd jury member,7,True,False,False,US02US0026,Jury,Old School (pre-advantage)
US,US02,2,Amber Brkich,US0027,11.0,10th voted out,4th jury member,6,True,False,False,US02US0027,Jury,Old School (pre-advantage)
US,US08,8,Amber Brkich,US0027,18.0,Sole Survivor,nan,1,False,True,True,US08US0027,Winner,Old School (pre-advantage)
US,US40,40,Amber Mariano,US0027,2.0,2nd voted out,1st jury member,20,True,False,False,US40US0027,Jury,New School
US,US02,2,Rodger Bingham,US0028,12.0,11th voted out,5th jury member,5,True,False,False,US02US0028,Jury,Old School (pre-advantage)
US,US02,2,Elisabeth Filarski,US0029,13.0,12th voted out,6th jury member,4,True,False,False,US02US0029,Jury,Old School (pre-advantage)
US,US02,2,Keith Famie,US0030,14.0,13th voted out,7th jury member,3,True,False,False,US02US0030,Jury,Old School (pre-advantage)
